Reviews,Labels
"First, this film is not a ""thriller."" Neither is it ""gripping, taut."" It might have been so based on the script, but the direction's slow pace makes it difficult to get into.<br /><br />The plot itself is very interesting and ingenious. Unfortunately, we only get a sense of *how* ingenious after the picture is over. That leaves us with over two hours of long sequences with music playing over them punctuated by some action scenes that don't grab the viewer, and ""cunning vixen"" scenes that inject a little more overt intelligence.<br /><br />I wish this had been the fast-paced thriller the box promised. It would've been an outstanding film. Instead, Spike Lee made it plod along through the end.",0
"I am writing this after just seeing The Perfect Son at the 2002 Gay and Lesbian Mardi Gras Film Festival in Sydney, Australia.<br /><br />When their Father dies, two estranged brothers meet at the funeral and after discovering that one of the brothers is dying from AIDS, they enter on a heart warming journey of reconciliation. The two leads do a magnificent job of creating the gradual warmth and respect that builds up between them as the movie progresses. I do have one qualm about the movie though - whilst the brother who is dying acts sick, he doesn't look it. A person of 0 T4 cells would look quite ill - not even a make up job to make the actor look ill was employed. A small gripe, but one that makes it a bit less realistic. Despite that one small gripe, The Perfect Son is a wonderful movie and should you have the chance to see it- do. I'm hoping for a DVD release in the near future!",1
"This is a comedy of morals, so occasionally a gentle touch of bitterness occurs, but a lightness soften all sarcasm and irony flows till all of a sudden one moment will halt your heart and changes everything.<br /><br />This film, marvelously written and directed, is a gem that shines perfectly, with beautiful acting by all. Jean-Louis Trintignant is exquisite as usual, and Romy Schneider is a pearl, perfect and glowing, that is not to be missed. A truly wonderful film !!",1
"WOW, finally Jim Carrey has returned from the died. This movie had me laughing and crying. It also sends a message that we should all know and learn from. Jeniffer Aniston was great, she will finally have a hit movie under her belt. If you liked liar liar you will love this movie. I give it 9/10.",1
"I have read modesty Blaise for several years now, collecting numbers of the strip. After the fiasco movie made many years ago based on the first book ""Modesty Blaise"" I was surprised the result got this good.<br /><br />What I got was a movie not based on action or violence. The director had focused on history and psychology. How was Modesty created based on the own tale and what parts in her life was affected by her non-childhood. I think this thougths will give a greater understanding to the next (I hope) film. I simply loved the movies old-fashioned style.<br /><br />However everything wasn't that good, the gambling wasn't that good. almost boring and unreal. The acting could have been improved too. I'm not thinking the bad guy in this movie felt real, the only reason he was there was so Modesty could have someone to tell her story for. Also they could have expanded the movie, showing more about when she builds up ""The network"" but I'll guess thats for the next movie.<br /><br />And please forgive me for my bad English",1
"It ran 8 seasons, but it's first, in early 1959, and it's last, in the autumn of 1965, were shorter than seasons 2-7. CBS chief William Paley canceled Rawhide's production after watching the 1st show of season 8, in September, 1965, because he disliked the series without Eric Fleming as Gil Favor, who had departed after season 7. The last new episode aired in November, 1965. The lone 1966 CBS broadcast, on January 4, 1966, was a rerun. <br /><br />I have often wondered why Rawhide didn't switch to color filming for it's last season? Most of the big westerns of the 1960s had gone over to color by 1965. CBS was broadcasting in color that autumn, for many of their sitcoms, but westerns like Gunsmoke and Rawhide remained in black and white. Gunsmoke was the last western (and last prime time network series to switch to color) on September 17, 1966, for the episode Snap Decision.",1
"This film is wonderful in every way that modern action adventures are not. Take some time. Relax, enjoy. Think. People who see this movie as slow or plodding or dull really need to take a week off and watch it several times until their short attention span mind comes to grips with the possibility of being involved with a cause or even beautiful story in a beautiful place for no other reason than because it isn't hurrying to make the points you so emphatically need it to make in the short time alloted. At first I was apprehensive of Brosnan playing a native American. Given the story line though, I think it was apt casting. Now, back to my hermiting. -Jahfre",1
"Vonnegut's words are best experienced on paper. The tales he weaves are gossemar, silken strands of words and expressions that are not easily translated into a world of Marilyn Manson or Jerry Bruckheimer explosions. His words have been treated well once before, in the remarkable Slaughterhouse-5.<br /><br />Mother night is probably one of the three novels Vonnegut has written I could take to a desert island, along with Slaughterhouse-5 and Bluebeard.<br /><br />The film version deserves a 10, but the books are so permanently part of my interior landscape that I just can't do it...some of the scenes left out of the film are part of my memory...",1
"Predictable, told a thousand times story with the usual drama in between, a couple of pretty raunchy sex scenes intermingled with some character paranoia, 70's style incidental violin horror music that is comical at times, i couldn't help chuckling to myself.<br /><br />I usually like Defoe, and it has to be said that the acting is not all that bad, the ""plot"" develops at a reasonable pace and does keep you guessing from time to time. Its just that it's all too predictable, i felt like i was watching a made for TV drama instead of a new movie. Maybe thats the style the directors wanted, but it has to be said that the review i read on here before i saw the movie could only have been written by someone involved in its production.<br /><br />Don't expect too much, and if i could wind the clock back i wouldn't have gone to see it at the cinema. I would wait for the bargain bins at your video shop, I'm sure it wont take long.",0
"Big splashy film of the Broadway music. Nathan (Frank Sinatra) loves to roll the dice and organize illegal crap games. Blonde loving Adelaide (Vivian Blaine) wants to marry him IF he gives up craps. He decides on one last game when Sky Masterson (Marlon Brando!), who bets big, is in town. He bets Sky that he can't get mission worker Sarah Brown (Jean Simmons) to go with him to Havana. That may sound like a strange plot summary but so is the movie!<br /><br />This is a real mixed bag--there's some wonderful stuff here. The songs are all good and the dancing is incredible. The real show stopper is at the crap game at the end. Also Brando is really quite good here--it might seem strange to think of him singing and dancing but he pulls it off. I have to admit seeing big, bulky Brando pulling off some difficult dance moves was a lot of fun! Also Sinatra is pretty good and Blaine is just wonderful as his long-suffering girlfriend. Her song and dance numbers are definite highlights here.<br /><br />Now for the bad parts--Jean Simmons is a wonderful actress but she's stuck with a drab colorless role and can't do much with it. The movie is far too long at 150 minutes--the scenes between Brando and Simmons really drag and should have been shortened. Also most of the characters speak in very precise English--contractions are never used. Maybe it's trying to be amusing coming out of the mouths of gangsters but I found it jarring and it kept throwing me out of the movie.<br /><br />It's worth catching for the songs and dances but the over length of it does get to you after a while. I give it a 7.",1
